epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.453,1.22137,1.24546,1.29215,0.8333,0.74906,0.80452,0.56371,1.00675,0.67441,1.11782,0.00332697,0.00332697,0.00332697
2,493.872,1.11317,0.87098,1.22264,0.77537,0.83512,0.89455,0.63917,0.99713,0.71093,1.13369,0.00659437,0.00659437,0.00659437
3,736.781,1.18496,0.95394,1.27291,0.76609,0.73937,0.7863,0.49166,1.20314,0.92616,1.28821,0.00979576,0.00979576,0.00979576
4,978.267,1.24311,1.03284,1.31704,0.84966,0.76027,0.85003,0.53627,1.21467,0.86217,1.29163,0.009703,0.009703,0.009703
5,1219.1,1.21278,1.00566,1.30644,0.7818,0.7473,0.82366,0.56288,1.15427,0.86126,1.27172,0.009604,0.009604,0.009604
6,1459.92,1.17341,0.95413,1.28923,0.83528,0.83352,0.88364,0.60629,1.05343,0.74802,1.19448,0.009505,0.009505,0.009505
7,1700.36,1.14077,0.9,1.2571,0.82637,0.86153,0.892,0.64342,0.9838,0.70741,1.13878,0.009406,0.009406,0.009406
8,1941.67,1.11968,0.87457,1.2539,0.84788,0.8611,0.91334,0.65502,1.02585,0.71969,1.17856,0.009307,0.009307,0.009307
9,2183.18,1.10162,0.85337,1.24023,0.8366,0.8856,0.90986,0.67015,0.9613,0.67968,1.1432,0.009208,0.009208,0.009208
10,2425.14,1.07376,0.82957,1.22693,0.83432,0.87012,0.90535,0.66407,0.94525,0.64858,1.13135,0.009109,0.009109,0.009109
11,2665.45,1.05002,0.79812,1.21049,0.84842,0.88636,0.91058,0.65865,0.95135,0.64475,1.13325,0.00901,0.00901,0.00901
12,2905.71,1.03742,0.78371,1.20546,0.80005,0.88335,0.91499,0.68661,0.91962,0.64906,1.11098,0.008911,0.008911,0.008911
13,3146.87,1.02186,0.76261,1.19333,0.87279,0.89795,0.92475,0.70299,0.8964,0.61544,1.09518,0.008812,0.008812,0.008812
14,3387.72,1.00278,0.74938,1.1821,0.83958,0.86456,0.91311,0.68688,0.90861,0.61034,1.10585,0.008713,0.008713,0.008713
15,3628.66,0.99163,0.72933,1.17653,0.86893,0.87238,0.92413,0.70659,0.88446,0.58459,1.09582,0.008614,0.008614,0.008614
16,3869.48,0.97851,0.72138,1.16767,0.90055,0.85855,0.91774,0.67795,0.88509,0.59551,1.08324,0.008515,0.008515,0.008515
17,4109.85,0.9682,0.70399,1.1614,0.87864,0.89783,0.94011,0.70862,0.89142,0.57514,1.07768,0.008416,0.008416,0.008416
18,4350.71,0.96914,0.70416,1.1625,0.82793,0.91308,0.93189,0.71884,0.85103,0.5781,1.06768,0.008317,0.008317,0.008317
19,4591.8,0.94661,0.68869,1.15044,0.88417,0.89818,0.93867,0.72643,0.86209,0.56155,1.06731,0.008218,0.008218,0.008218
20,4833.32,0.93178,0.67485,1.14284,0.86648,0.89947,0.93202,0.72087,0.86882,0.54874,1.06833,0.008119,0.008119,0.008119
21,5073.75,0.9266,0.66407,1.1385,0.88954,0.89976,0.94209,0.73165,0.84071,0.54144,1.0631,0.00802,0.00802,0.00802
22,5314.5,0.92424,0.66371,1.14238,0.90435,0.91029,0.94591,0.73712,0.85523,0.53849,1.06724,0.007921,0.007921,0.007921
23,5555.5,0.91344,0.65508,1.133,0.87185,0.91281,0.93977,0.72566,0.8333,0.52326,1.05838,0.007822,0.007822,0.007822
24,5795.59,0.90436,0.63948,1.12977,0.88703,0.9048,0.94788,0.74155,0.84567,0.52786,1.06093,0.007723,0.007723,0.007723
25,6036.43,0.89398,0.63789,1.12379,0.9025,0.92099,0.94648,0.7458,0.82624,0.52095,1.05613,0.007624,0.007624,0.007624
26,6287.02,0.89828,0.63335,1.11971,0.88825,0.91394,0.94549,0.74322,0.82457,0.51479,1.04177,0.007525,0.007525,0.007525
27,6527.2,0.88194,0.62056,1.11541,0.89435,0.91815,0.94505,0.7559,0.80935,0.50401,1.03454,0.007426,0.007426,0.007426
28,6767.7,0.87314,0.61331,1.10764,0.87852,0.90503,0.94135,0.74131,0.81659,0.52085,1.04663,0.007327,0.007327,0.007327
29,7007.88,0.87569,0.61422,1.11095,0.87742,0.91635,0.95087,0.75322,0.81233,0.50846,1.04131,0.007228,0.007228,0.007228
30,7248.64,0.86204,0.60079,1.10343,0.89708,0.91392,0.94381,0.75521,0.79554,0.50121,1.03108,0.007129,0.007129,0.007129
31,7488.55,0.8561,0.5976,1.10189,0.90563,0.9081,0.94977,0.75821,0.8052,0.49301,1.03495,0.00703,0.00703,0.00703
32,7729.59,0.84467,0.59243,1.09757,0.86803,0.93624,0.94624,0.76066,0.79073,0.50008,1.03372,0.006931,0.006931,0.006931
33,7970.64,0.84378,0.58556,1.0939,0.88946,0.91548,0.95456,0.77619,0.79268,0.4907,1.02751,0.006832,0.006832,0.006832
34,8212.39,0.83494,0.57823,1.08561,0.91347,0.90008,0.94941,0.76144,0.79264,0.49542,1.02902,0.006733,0.006733,0.006733
35,8454.55,0.836,0.57389,1.08738,0.90173,0.92535,0.95336,0.76991,0.78097,0.48425,1.02245,0.006634,0.006634,0.006634
36,8694.54,0.82796,0.56977,1.08265,0.90645,0.91579,0.95058,0.76391,0.79091,0.48004,1.03057,0.006535,0.006535,0.006535
